Sl_No,District,Market,Commodity,Variety,Grade,Min_Price_Rs,Max_Price_Rs,Modal_Price_Rs,Date
657,Varanasi,Varanasi,Wheat,Dara,FAQ,2650,2735,2700,2023-01-02
327,Varanasi,Varanasi,Wheat,Dara,FAQ,2650,2745,2710,2023-01-03
394,Varanasi,Varanasi,Wheat,Dara,FAQ,2665,2760,2715,2023-01-04
264,Varanasi,Varanasi,Wheat,Dara,FAQ,2685,2785,2718,2023-01-05
263,Varanasi,Varanasi,Wheat,Dara,FAQ,2670,2750,2720,2023-01-06
50,Varanasi,Varanasi,Wheat,Dara,FAQ,2650,2735,2700,2023-01-07
191,Varanasi,Varanasi,Wheat,Dara,FAQ,2650,2735,2700,2023-01-09
64,Varanasi,Varanasi,Wheat,Dara,FAQ,2650,2745,2720,2023-01-10
529,Varanasi,Varanasi,Wheat,Dara,FAQ,2670,2760,2715,2023-01-11
724,Varanasi,Varanasi,Wheat,Dara,FAQ,2650,2765,2725,2023-01-14
34,Varanasi,Varanasi,Wheat,Dara,FAQ,2700,2785,2730,2023-01-16
313,Varanasi,Varanasi,Wheat,Dara,FAQ,2700,2800,2740,2023-01-17
536,Varanasi,Varanasi,Wheat,Dara,FAQ,2700,2785,2750,2023-01-18
338,Varanasi,Varanasi,Wheat,Dara,FAQ,2750,2840,2780,2023-01-19
26,Varanasi,Varanasi,Wheat,Dara,FAQ,2740,2825,2780,2023-01-20
323,Varanasi,Varanasi,Wheat,Dara,FAQ,2740,2815,2785,2023-01-21
246,Varanasi,Varanasi,Wheat,Dara,FAQ,2750,2835,2790,2023-01-23
340,Varanasi,Varanasi,Wheat,Dara,FAQ,2750,2835,2800,2023-01-24
735,Varanasi,Varanasi,Wheat,Dara,FAQ,2765,2845,2800,2023-01-25
326,Varanasi,Varanasi,Wheat,Dara,FAQ,2765,2845,2810,2023-01-27
593,Varanasi,Varanasi,Wheat,Dara,FAQ,2765,2850,2815,2023-01-28
324,Varanasi,Varanasi,Wheat,Dara,FAQ,2770,2865,2815,2023-01-30
643,Varanasi,Varanasi,Wheat,Dara,FAQ,2765,2850,2820,2023-01-31
435,Varanasi,Varanasi,Wheat,Dara,FAQ,2740,2835,2770,2023-02-01
155,Varanasi,Varanasi,Wheat,Dara,FAQ,2740,2850,2775,2023-02-02
599,Varanasi,Varanasi,Wheat,Dara,FAQ,2675,2800,2765,2023-02-03
481,Varanasi,Varanasi,Wheat,Dara,FAQ,2725,2800,2760,2023-02-04
534,Varanasi,Varanasi,Wheat,Dara,FAQ,2740,2835,2770,2023-02-06
258,Varanasi,Varanasi,Wheat,Dara,FAQ,2735,2850,2780,2023-02-07
460,Varanasi,Varanasi,Wheat,Dara,FAQ,2765,2835,2800,2023-02-08
11,Varanasi,Varanasi,Wheat,Dara,FAQ,2750,2845,2810,2023-02-09
254,Varanasi,Varanasi,Wheat,Dara,FAQ,2775,2850,2815,2023-02-10
438,Varanasi,Varanasi,Wheat,Dara,FAQ,2750,2865,2810,2023-02-11
72,Varanasi,Varanasi,Wheat,Dara,FAQ,2765,2880,2820,2023-02-13
100,Varanasi,Varanasi,Wheat,Dara,FAQ,2765,2845,2800,2023-02-14
665,Varanasi,Varanasi,Wheat,Dara,FAQ,2765,2835,2800,2023-02-15
554,Varanasi,Varanasi,Wheat,Dara,FAQ,2775,2890,2810,2023-02-16
691,Varanasi,Varanasi,Wheat,Dara,FAQ,2770,2845,2800,2023-02-17
73,Varanasi,Varanasi,Wheat,Dara,FAQ,2740,2835,2780,2023-02-20
650,Varanasi,Varanasi,Wheat,Dara,FAQ,2740,2850,2780,2023-02-21
61,Varanasi,Varanasi,Wheat,Dara,FAQ,2675,2825,2785,2023-02-22
601,Varanasi,Varanasi,Wheat,Dara,FAQ,2750,2835,2790,2023-02-23
269,Varanasi,Varanasi,Wheat,Dara,FAQ,2750,2835,2780,2023-02-24
42,Varanasi,Varanasi,Wheat,Dara,FAQ,2700,2785,2750,2023-02-25
630,Varanasi,Varanasi,Wheat,Dara,FAQ,2640,2735,2695,2023-02-27
175,Varanasi,Varanasi,Wheat,Dara,FAQ,2550,2735,2670,2023-02-28
688,Varanasi,Varanasi,Wheat,Dara,FAQ,2620,2700,2665,2023-03-01
133,Varanasi,Varanasi,Wheat,Dara,FAQ,2550,2675,2635,2023-03-02
235,Varanasi,Varanasi,Wheat,Dara,FAQ,2535,2635,2585,2023-03-03
65,Varanasi,Varanasi,Wheat,Dara,FAQ,2485,2575,2535,2023-03-04
532,Varanasi,Varanasi,Wheat,Dara,FAQ,2525,2575,2540,2023-03-06
265,Varanasi,Varanasi,Wheat,Dara,FAQ,2450,2550,2500,2023-03-07
619,Varanasi,Varanasi,Wheat,Dara,FAQ,2400,2485,2450,2023-03-10
218,Varanasi,Varanasi,Wheat,Dara,FAQ,2375,2465,2420,2023-03-11
121,Varanasi,Varanasi,Wheat,Dara,FAQ,2350,2465,2400,2023-03-13
425,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2425,2375,2023-03-14
132,Varanasi,Varanasi,Wheat,Dara,FAQ,2250,2425,2350,2023-03-15
510,Varanasi,Varanasi,Wheat,Dara,FAQ,2250,2345,2300,2023-03-16
118,Varanasi,Varanasi,Wheat,Dara,FAQ,2250,2336,2300,2023-03-17
410,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2385,2320,2023-03-18
189,Varanasi,Varanasi,Wheat,Dara,FAQ,2165,2345,2280,2023-03-20
158,Varanasi,Varanasi,Wheat,Dara,FAQ,2240,2350,2270,2023-03-21
289,Varanasi,Varanasi,Wheat,Dara,FAQ,2240,2320,2275,2023-03-22
483,Varanasi,Varanasi,Wheat,Dara,FAQ,2240,2350,2280,2023-03-23
341,Varanasi,Varanasi,Wheat,Dara,FAQ,2240,2350,2265,2023-03-24
516,Varanasi,Varanasi,Wheat,Dara,FAQ,2185,2350,2260,2023-03-25
628,Varanasi,Varanasi,Wheat,Dara,FAQ,2185,2265,2230,2023-03-27
366,Varanasi,Varanasi,Wheat,Dara,FAQ,2170,2285,2215,2023-03-29
148,Varanasi,Varanasi,Wheat,Dara,FAQ,2150,2235,2200,2023-03-30
652,Varanasi,Varanasi,Wheat,Dara,FAQ,2150,2245,2200,2023-03-31
113,Varanasi,Varanasi,Wheat,Dara,FAQ,2140,2235,2180,2023-04-01
664,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2250,2170,2023-04-03
605,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2200,2160,2023-04-04
212,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2200,2150,2023-04-05
97,Varanasi,Varanasi,Wheat,Dara,FAQ,2115,2165,2130,2023-04-07
399,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2200,2140,2023-04-08
293,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2170,2135,2023-04-10
