Sl_No,District,Market,Commodity,Variety,Grade,Min_Price_Rs,Max_Price_Rs,Modal_Price_Rs,Date
392,Ratlam,A lot,Wheat,Medium,FAQ,2626,2660,2630,2023-01-01
1058,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2500,2500,2500,2023-01-01
2075,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2510,2800,2620,2023-01-01
3759,Ratlam,Sailana,Wheat,Other,FAQ,2400,2400,2400,2023-01-01
1042,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2450,3055,2700,2023-01-02
2096,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2543,2876,2610,2023-01-02
3712,Ratlam,Sailana,Wheat,Other,FAQ,2161,2800,2800,2023-01-02
4669,Ratlam,Taal,Wheat,Other,FAQ,2380,2780,2520,2023-01-02
385,Ratlam,A lot,Wheat,Medium,FAQ,2551,2616,2600,2023-01-02
1075,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2542,3170,2700,2023-01-03
386,Ratlam,A lot,Wheat,Medium,FAQ,2551,2629,2571,2023-01-03
4671,Ratlam,Taal,Wheat,Other,FAQ,2390,2770,2580,2023-01-03
3790,Ratlam,Sailana,Wheat,Other,FAQ,2553,2895,2895,2023-01-03
2101,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2547,2892,2625,2023-01-03
1063,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2500,3063,2700,2023-01-04
3778,Ratlam,Sailana,Wheat,Other,FAQ,2500,2775,2775,2023-01-04
4444,Ratlam,Taal,Wheat,Medium,FAQ,2390,2770,2580,2023-01-04
1071,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2531,2916,2600,2023-01-05
370,Ratlam,A lot,Wheat,Medium,FAQ,2500,2590,2560,2023-01-05
3777,Ratlam,Sailana,Wheat,Other,FAQ,2500,2600,2600,2023-01-05
4442,Ratlam,Taal,Wheat,Medium,FAQ,2380,2790,2585,2023-01-05
3774,Ratlam,Sailana,Wheat,Other,FAQ,2480,2870,2870,2023-01-06
4443,Ratlam,Taal,Wheat,Medium,FAQ,2380,2800,2590,2023-01-06
1052,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2451,3062,2600,2023-01-06
379,Ratlam,A lot,Wheat,Medium,FAQ,2550,2600,2581,2023-01-06
2071,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2496,2891,2600,2023-01-06
1076,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2549,3016,2600,2023-01-07
4670,Ratlam,Taal,Wheat,Other,FAQ,2380,2800,2590,2023-01-07
2082,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2517,2808,2610,2023-01-07
1060,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2500,2500,2500,2023-01-08
2051,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2450,2700,2580,2023-01-08
2074,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2500,2890,2615,2023-01-09
378,Ratlam,A lot,Wheat,Medium,FAQ,2510,2700,2634,2023-01-09
1031,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2370,2960,2500,2023-01-09
3727,Ratlam,Sailana,Wheat,Other,FAQ,2224,2899,2828,2023-01-09
3794,Ratlam,Sailana,Wheat,Other,FAQ,2650,2650,2650,2023-01-10
4447,Ratlam,Taal,Wheat,Medium,FAQ,2440,2797,2618,2023-01-10
2088,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2527,2888,2590,2023-01-10
1102,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2600,3008,2700,2023-01-10
3772,Ratlam,Sailana,Wheat,Other,FAQ,2460,2830,2760,2023-01-11
4446,Ratlam,Taal,Wheat,Medium,FAQ,2440,2740,2590,2023-01-11
346,Ratlam,A lot,Wheat,Medium,FAQ,2424,2576,2555,2023-01-11
2070,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2490,2846,2580,2023-01-11
1081,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2550,2970,2600,2023-01-11
1055,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2458,2999,2600,2023-01-12
2078,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2510,2891,2615,2023-01-12
380,Ratlam,A lot,Wheat,Medium,FAQ,2550,2608,2590,2023-01-12
4461,Ratlam,Taal,Wheat,Medium,FAQ,2541,2721,2636,2023-01-12
2060,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2466,2873,2605,2023-01-13
389,Ratlam,A lot,Wheat,Medium,FAQ,2588,2602,2590,2023-01-13
2731,Ratlam,Ratlam,Wheat,Sharbati,FAQ,2908,2908,2908,2023-01-13
3779,Ratlam,Sailana,Wheat,Other,FAQ,2500,2831,2831,2023-01-13
4450,Ratlam,Taal,Wheat,Medium,FAQ,2456,2744,2600,2023-01-13
1056,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2470,3500,3161,2023-01-13
371,Ratlam,A lot,Wheat,Medium,FAQ,2500,2600,2550,2023-01-14
1061,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2500,2500,2500,2023-01-14
2052,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2450,2800,2600,2023-01-14
2072,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2500,2800,2620,2023-01-15
1077,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2550,2550,2550,2023-01-15
3787,Ratlam,Sailana,Wheat,Other,FAQ,2550,2880,2620,2023-01-16
2086,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2523,2872,2625,2023-01-16
1066,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2500,3140,2600,2023-01-16
383,Ratlam,A lot,Wheat,Medium,FAQ,2550,2665,2650,2023-01-16
2094,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2540,2941,2665,2023-01-17
3796,Ratlam,Sailana,Wheat,Other,FAQ,2660,2980,2980,2023-01-17
1072,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2533,3301,2600,2023-01-17
391,Ratlam,A lot,Wheat,Medium,FAQ,2600,2718,2700,2023-01-17
3732,Ratlam,Sailana,Wheat,Other,FAQ,2251,3050,2870,2023-01-18
2109,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2570,2918,2645,2023-01-18
4451,Ratlam,Taal,Wheat,Medium,FAQ,2470,2851,2660,2023-01-18
1110,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2660,3206,2700,2023-01-18
393,Ratlam,A lot,Wheat,Medium,FAQ,2651,2828,2751,2023-01-19
4465,Ratlam,Taal,Wheat,Medium,FAQ,2600,3000,2800,2023-01-19
1049,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2450,3250,2600,2023-01-19
2112,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2613,2910,2725,2023-01-19
3795,Ratlam,Sailana,Wheat,Other,FAQ,2650,2970,2970,2023-01-19
394,Ratlam,A lot,Wheat,Medium,FAQ,2702,2887,2850,2023-01-20
2111,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2605,2890,2730,2023-01-20
4466,Ratlam,Taal,Wheat,Medium,FAQ,2640,2990,2815,2023-01-20
1084,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2550,3260,2700,2023-01-20
2736,Ratlam,Ratlam,Wheat,Sharbati,FAQ,3106,3106,3106,2023-01-20
3558,Ratlam,Sailana,Wheat,Other,FAQ,1050,1300,1300,2023-01-20
4467,Ratlam,Taal,Wheat,Medium,FAQ,2710,2980,2850,2023-01-21
1104,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2600,3250,2700,2023-01-21
2113,Ratlam,Ratlam,Wheat,Lok-1,FAQ,2665,2900,2780,2023-01-21
3801,Ratlam,Sailana,Wheat,Other,FAQ,2810,2810,2810,2023-01-21
1099,Ratlam,Jaora,Wheat,Lok -1 (Nilami Rate),FAQ,2600,2600,2600,2023-01-22
