"Min,Max,Modal PriceVaranasi from 01-Jan-2023To29-Aug-2025 (Total-738) (Total-738)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Varanasi,Varanasi,Wheat,Dara,FAQ,2470,2600,2560,21-Jun-25
2,Varanasi,Varanasi,Wheat,Dara,FAQ,2845,2935,2900,17-Mar-25
3,Varanasi,Varanasi,Wheat,Dara,FAQ,2850,2915,2875,31-Dec-24
4,Varanasi,Varanasi,Wheat,Dara,Non-FAQ,2820,2875,2850,18-Feb-25
5,Varanasi,Varanasi,Wheat,Dara,FAQ,2415,2500,2450,20-Jul-24
6,Varanasi,Varanasi,Wheat,Dara,FAQ,2485,2575,2540,04-Aug-25
7,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2200,2140,01-May-23
8,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2375,2340,29-Apr-24
9,Varanasi,Varanasi,Wheat,Dara,FAQ,2530,2615,2565,12-Aug-25
10,Varanasi,Varanasi,Wheat,Dara,FAQ,2400,2485,2440,19-Jul-24
11,Varanasi,Varanasi,Wheat,Dara,FAQ,2750,2845,2810,09-Feb-23
12,Varanasi,Varanasi,Wheat,Dara,FAQ,2270,2360,2310,24-Jul-23
13,Varanasi,Varanasi,Wheat,Dara,FAQ,2765,2840,2815,16-Dec-24
14,Varanasi,Varanasi,Wheat,Dara,FAQ,2770,2865,2815,09-Dec-24
15,Varanasi,Varanasi,Wheat,Dara,FAQ,2470,2550,2520,27-Jan-24
16,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2435,2380,02-Nov-23
17,Varanasi,Varanasi,Wheat,Dara,FAQ,2425,2540,2500,12-Apr-25
18,Varanasi,Varanasi,Wheat,Dara,FAQ,2425,2530,2470,25-Jul-24
19,Varanasi,Varanasi,Wheat,Dara,FAQ,2700,2785,2750,09-Nov-24
20,Varanasi,Varanasi,Wheat,Dara,FAQ,2400,2485,2435,18-Jul-24
21,Varanasi,Varanasi,Wheat,Dara,FAQ,2840,2915,2885,03-Jan-25
22,Varanasi,Varanasi,Wheat,Dara,FAQ,2735,2815,2775,14-Nov-24
23,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2235,2180,26-Apr-23
24,Varanasi,Varanasi,Wheat,Dara,FAQ,2745,2865,2795,23-Nov-24
25,Varanasi,Varanasi,Wheat,Dara,FAQ,2425,2560,2500,10-Apr-25
26,Varanasi,Varanasi,Wheat,Dara,FAQ,2740,2825,2780,20-Jan-23
27,Varanasi,Varanasi,Wheat,Dara,FAQ,2425,2530,2485,07-May-25
28,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2435,2380,22-Jun-24
29,Varanasi,Varanasi,Wheat,Dara,FAQ,2440,2550,2475,31-Jul-24
