"Min,Max,Modal Price from Madhya Pradesh,Ratlam[Wheat] from 01-Jan-2023To29-Aug-2025 (Total-5016) (Total-5016)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ratlam,A lot,Wheat,Local,FAQ,1500,2763,2570,07-Jun-24
2,Ratlam,A lot,Wheat,Local,FAQ,1556,2476,2281,02-Mar-24
3,Ratlam,A lot,Wheat,Local,FAQ,1700,2713,2370,06-Apr-24
4,Ratlam,A lot,Wheat,Local,FAQ,1800,2380,2251,22-Feb-24
5,Ratlam,A lot,Wheat,Local,FAQ,1800,2610,2355,04-Apr-24
6,Ratlam,A lot,Wheat,Local,FAQ,1855,2433,2160,26-Feb-24
7,Ratlam,A lot,Wheat,Local,FAQ,1884,2652,2300,12-Mar-24
8,Ratlam,A lot,Wheat,Local,FAQ,1893,2466,2281,05-Mar-24
9,Ratlam,A lot,Wheat,Local,FAQ,1900,2560,2300,04-Mar-24
10,Ratlam,A lot,Wheat,Local,FAQ,1925,2700,2385,06-May-24
11,Ratlam,A lot,Wheat,Local,FAQ,1952,2460,2100,27-Feb-24
12,Ratlam,A lot,Wheat,Local,FAQ,1960,7200,2250,06-Mar-24
13,Ratlam,A lot,Wheat,Local,FAQ,2000,2600,2341,01-Mar-24
14,Ratlam,A lot,Wheat,Local,FAQ,2000,2676,2464,04-Jun-24
15,Ratlam,A lot,Wheat,Local,FAQ,2000,2813,2381,11-Mar-24
16,Ratlam,A lot,Wheat,Local,FAQ,2003,2490,2331,18-Mar-24
17,Ratlam,A lot,Wheat,Local,FAQ,2050,2100,2100,07-Apr-24
18,Ratlam,A lot,Wheat,Local,FAQ,2050,2575,2300,16-Mar-24
19,Ratlam,A lot,Wheat,Local,FAQ,2075,2554,2335,14-Mar-24
20,Ratlam,A lot,Wheat,Local,FAQ,2075,2801,2381,15-Apr-24
21,Ratlam,A lot,Wheat,Local,FAQ,2077,2402,2290,19-Mar-24
22,Ratlam,A lot,Wheat,Local,FAQ,2080,2576,2361,15-Mar-24
23,Ratlam,A lot,Wheat,Local,FAQ,2090,2685,2401,16-May-24
24,Ratlam,A lot,Wheat,Local,FAQ,2100,2451,2321,20-Mar-24
25,Ratlam,A lot,Wheat,Local,FAQ,2100,2576,2351,02-Apr-24
26,Ratlam,A lot,Wheat,Local,FAQ,2103,2400,2400,29-Feb-24
27,Ratlam,A lot,Wheat,Local,FAQ,2115,4442,2330,27-Mar-24
28,Ratlam,A lot,Wheat,Local,FAQ,2122,2671,2539,18-Jun-24
29,Ratlam,A lot,Wheat,Local,FAQ,2125,2599,2330,21-Mar-24
30,Ratlam,A lot,Wheat,Local,FAQ,2131,2561,2300,13-Mar-24
31,Ratlam,A lot,Wheat,Local,FAQ,2135,2225,2135,28-Feb-24
32,Ratlam,A lot,Wheat,Local,FAQ,2135,2801,2400,07-Mar-24
33,Ratlam,A lot,Wheat,Local,FAQ,2150,3800,2320,03-Apr-24
34,Ratlam,A lot,Wheat,Local,FAQ,2157,2601,2326,28-Mar-24
35,Ratlam,A lot,Wheat,Local,FAQ,2173,2595,2370,08-May-24
36,Ratlam,A lot,Wheat,Local,FAQ,2175,2518,2300,26-Mar-24
37,Ratlam,A lot,Wheat,Local,FAQ,2186,2638,2375,04-May-24
38,Ratlam,A lot,Wheat,Local,FAQ,2200,2647,2300,16-Apr-24
39,Ratlam,A lot,Wheat,Local,FAQ,2200,2700,2360,08-Apr-24
40,Ratlam,A lot,Wheat,Local,FAQ,2201,2733,2451,02-May-24
41,Ratlam,A lot,Wheat,Local,FAQ,2227,2609,2375,18-Apr-24
42,Ratlam,A lot,Wheat,Local,FAQ,2250,2260,2260,31-Mar-24
43,Ratlam,A lot,Wheat,Local,FAQ,2251,2752,2400,24-Apr-24
44,Ratlam,A lot,Wheat,Local,FAQ,2251,2859,2500,24-May-24
45,Ratlam,A lot,Wheat,Local,FAQ,2256,2731,2400,19-Apr-24
