State,District,Market,Commodity,Variety,grade,Date,Min_Price_Rs,Max_Price_Rs,Modal_Price_Rs
Uttar Pradesh,Agra,Agra,Wheat,Dara,FAQ,28-08-2025,2550,2610,2580
Uttar Pradesh,Sitapur,Viswan,Wheat,Dara,FAQ,28-08-2025,2460,2500,2480
Uttar Pradesh,Sitapur,Sitapur,Wheat,Dara,FAQ,28-08-2025,2480,2520,2500
Uttar Pradesh,Shahjahanpur,Tilhar,Wheat,Dara,Non-FAQ,28-08-2025,2460,2480,2470
Uttar Pradesh,Shahjahanpur,Shahjahanpur,Wheat,Dara,FAQ,28-08-2025,2500,2570,2550
Uttar Pradesh,Shahjahanpur,Puwaha,Wheat,Dara,FAQ,28-08-2025,2550,2600,2580
Uttar Pradesh,Rampur,Rampur,Wheat,Dara,FAQ,28-08-2025,2510,2610,2560
Uttar Pradesh,Raebarelli,Jayas,Wheat,Dara,FAQ,28-08-2025,2560,2580,2570
Uttar Pradesh,Prayagraj,Sirsa,Wheat,Dara,FAQ,28-08-2025,2500,2700,2600
Uttar Pradesh,Prayagraj,Ajuha,Wheat,Dara,FAQ,28-08-2025,2520,2570,2550
Uttar Pradesh,Pratapgarh,Pratapgarh,Wheat,Dara,FAQ,28-08-2025,2450,2650,2550
Uttar Pradesh,Pillibhit,Pilibhit,Wheat,Dara,Non-FAQ,28-08-2025,2405,2480,2440
Uttar Pradesh,Meerut,Meerut,Wheat,Dara,FAQ,28-08-2025,2570,2670,2620
Uttar Pradesh,Mathura,Kosikalan,Wheat,Dara,FAQ,28-08-2025,2500,2600,2550
Uttar Pradesh,Lucknow,Lucknow,Wheat,Dara,FAQ,28-08-2025,2500,2600,2550
Uttar Pradesh,Lalitpur,Lalitpur,Wheat,Dara,FAQ,28-08-2025,2460,2550,2500
Uttar Pradesh,Khiri (Lakhimpur),Maigalganj,Wheat,Dara,FAQ,28-08-2025,2500,2600,2550
Uttar Pradesh,Kanpur Dehat,Jhijhank,Wheat,Dara,Non-FAQ,28-08-2025,2425,2500,2435
Uttar Pradesh,Unnao,Unnao,Wheat,Dara,FAQ,28-08-2025,2540,2600,2560
Uttar Pradesh,Aligarh,Khair,Wheat,Dara,Non-FAQ,28-08-2025,2500,2595,2540
Uttar Pradesh,Amroha,Amroha,Wheat,Dara,FAQ,28-08-2025,2560,2580,2570
Uttar Pradesh,Amroha,Dhanaura,Wheat,Dara,Non-FAQ,28-08-2025,2480,2575,2500
Uttar Pradesh,Shahjahanpur,Tilhar,Wheat,Dara,FAQ,28-08-2025,2490,2530,2510
Uttar Pradesh,Sambhal,Bhehjoi,Wheat,Dara,Non-FAQ,28-08-2025,2500,2545,2540
Uttar Pradesh,Raebarelli,Raibareilly,Wheat,Dara,FAQ,28-08-2025,2490,2510,2500
Uttar Pradesh,Pillibhit,Pilibhit,Wheat,Dara,FAQ,28-08-2025,2505,2585,2545
Uttar Pradesh,Maharajganj,Partaval,Wheat,Dara,FAQ,28-08-2025,2435,2570,2500
Uttar Pradesh,Lakhimpur,Golagokarnath,Wheat,Dara,FAQ,28-08-2025,2425,2550,2520
Uttar Pradesh,Khiri (Lakhimpur),Mohammdi,Wheat,Dara,FAQ,28-08-2025,2485,2570,2530
Uttar Pradesh,Kaushambi,Bharwari,Wheat,Dara,FAQ,28-08-2025,2450,2550,2500
Uttar Pradesh,Kanpur,Kanpur(Grain),Wheat,Dara,FAQ,28-08-2025,2490,2590,2540
Uttar Pradesh,Kanpur,Choubepur,Wheat,Dara,FAQ,28-08-2025,2470,2550,2520
Uttar Pradesh,Jaunpur,Jaunpur,Wheat,Dara,Non-FAQ,28-08-2025,2480,2520,2500
Uttar Pradesh,Gorakhpur,Chorichora,Wheat,Dara,Non-FAQ,28-08-2025,2425,2580,2550
