ds,y
2023-01-02,2700
2023-01-03,2710
2023-01-04,2715
2023-01-05,2718
2023-01-06,2720
2023-01-07,2700
2023-01-09,2700
2023-01-10,2720
2023-01-11,2715
2023-01-14,2725
2023-01-16,2730
2023-01-17,2740
2023-01-18,2750
2023-01-19,2780
2023-01-20,2780
2023-01-21,2785
2023-01-23,2790
2023-01-24,2800
2023-01-25,2800
2023-01-27,2810
2023-01-28,2815
2023-01-30,2815
2023-01-31,2820
2023-02-01,2770
2023-02-02,2775
2023-02-03,2765
2023-02-04,2760
2023-02-06,2770
2023-02-07,2780
2023-02-08,2800
2023-02-09,2810
2023-02-10,2815
2023-02-11,2810
2023-02-13,2820
2023-02-14,2800
2023-02-15,2800
2023-02-16,2810
2023-02-17,2800
2023-02-20,2780
2023-02-21,2780
2023-02-22,2785
2023-02-23,2790
2023-02-24,2780
2023-02-25,2750
2023-02-27,2695
2023-02-28,2670
2023-03-01,2665
2023-03-02,2635
2023-03-03,2585
2023-03-04,2535
2023-03-06,2540
2023-03-07,2500
2023-03-10,2450
2023-03-11,2420
2023-03-13,2400
2023-03-14,2375
2023-03-15,2350
2023-03-16,2300
2023-03-17,2300
2023-03-18,2320
2023-03-20,2280
2023-03-21,2270
2023-03-22,2275
2023-03-23,2280
2023-03-24,2265
2023-03-25,2260
2023-03-27,2230
2023-03-29,2215
2023-03-30,2200
2023-03-31,2200
2023-04-01,2180
2023-04-03,2170
2023-04-04,2160
2023-04-05,2150
2023-04-07,2130
2023-04-08,2140
2023-04-10,2135
2023-04-11,2130
2023-04-12,2135
2023-04-13,2125
2023-04-14,2135
2023-04-15,2130
2023-04-17,2125
2023-04-18,2125
2023-04-19,2145
2023-04-20,2140
2023-04-24,2140
2023-04-25,2170
2023-04-26,2180
2023-04-27,2200
2023-04-28,2190
2023-04-29,2180
2023-05-01,2140
2023-05-02,2150
2023-05-03,2170
2023-05-05,2170
2023-05-06,2150
2023-05-08,2160
2023-05-09,2165
2023-05-10,2160
2023-05-11,2165
2023-05-12,2165
2023-05-13,2170
2023-05-15,2175
2023-05-16,2165
2023-05-17,2180
2023-05-18,2180
2023-05-19,2185
2023-05-20,2185
2023-05-22,2190
2023-05-23,2185
2023-05-24,2200
2023-05-25,2190
2023-05-29,2170
2023-05-30,2175
2023-05-31,2170
2023-06-01,2175
2023-06-02,2200
2023-06-03,2200
2023-06-05,2220
2023-06-06,2225
2023-06-07,2220
2023-06-08,2235
2023-06-09,2600
2023-06-12,2270
2023-06-13,2285
2023-06-14,2300
2023-06-15,2300
2023-06-16,2320
2023-06-17,2325
2023-06-19,2325
2023-06-20,2330
2023-06-21,2335
2023-06-22,2335
2023-06-23,2330
2023-06-24,2330
2023-06-26,2350
2023-06-27,2350
2023-06-28,2360
2023-06-29,2350
2023-06-30,2350
2023-07-01,2320
2023-07-03,2325
2023-07-04,2325
2023-07-05,2320
2023-07-06,2300
2023-07-07,2300
2023-07-08,2300
2023-07-10,2315
2023-07-11,2320
2023-07-12,2325
2023-07-14,2315
2023-07-15,2300
2023-07-17,2285
2023-07-18,2290
2023-07-19,2300
2023-07-20,2300
2023-07-21,2290
2023-07-22,2300
2023-07-24,2310
2023-07-25,2300
2023-07-26,2300
2023-07-27,2300
2023-07-28,2320
